iter	Logloss
0	0.6617692462
1	0.6327193525
2	0.6083951406
3	0.5910471521
4	0.5750140544
5	0.5612883008
6	0.5525587931
7	0.5431987052
8	0.5358177705
9	0.5289916599
10	0.5238726383
11	0.5201168429
12	0.5169483209
13	0.5134766166
14	0.5108139646
15	0.509265224
16	0.5067136306
17	0.5048881311
18	0.5028037149
19	0.5007183242
20	0.4988639937
21	0.4970602706
22	0.4955003064
23	0.4943070045
24	0.4929579184
25	0.4912929563
26	0.4904123171
27	0.4895452972
28	0.4872880055
29	0.4865936191
30	0.4859840599
31	0.484850949
32	0.4830674552
33	0.4826219597
34	0.4820215583
35	0.4814996232
36	0.4802880093
37	0.4797295238
38	0.4792147712
39	0.4786032077
40	0.4776350229
41	0.4772328482
42	0.476911155
43	0.4761218848
44	0.4757751666
45	0.474804746
46	0.4740366864
47	0.4732743212
48	0.4722211749
49	0.4718982788
50	0.4714267066
51	0.4711180706
52	0.4706958797
53	0.470375807
54	0.46973291
55	0.4695124773
56	0.4693021792
57	0.4686332371
58	0.4684036489
59	0.4681345375
60	0.4674071712
61	0.4672020684
62	0.4667728424
63	0.4664817819
64	0.4661163403
65	0.4657495268
66	0.4654679826
67	0.4650149826
68	0.4647106127
69	0.464341845
70	0.4641579391
71	0.4636170437
72	0.4632615682
73	0.4630557036
74	0.4626501367
75	0.4621171634
76	0.4615554918
77	0.4613391666
78	0.4608590068
79	0.4603741062
80	0.4601059527
81	0.4598581336
82	0.4595985977
83	0.45944124
84	0.4591220297
85	0.4587061069
86	0.4585254685
87	0.458142322
88	0.4579245315
89	0.4569307305
90	0.4563627578
91	0.456074787
92	0.4558544229
93	0.4558471462
94	0.4554755075
95	0.4551520602
96	0.4549881448
97	0.4548537702
98	0.4544909564
99	0.4542491127
100	0.45396286
101	0.4536827569
102	0.4531253324
103	0.4529166103
104	0.4525993358
105	0.4523270717
106	0.4521319034
107	0.4517125205
108	0.4515285577
109	0.4509395435
110	0.4507364198
111	0.4503294212
112	0.4501986539
113	0.449921623
114	0.4497762309
115	0.4496024189
116	0.4493913511
117	0.449168045
118	0.4487964115
119	0.4484953836
120	0.4483494192
121	0.4481130872
122	0.4478156713
123	0.4477279836
124	0.4475584539
125	0.4473339841
126	0.4471272226
127	0.4469138364
128	0.446718007
129	0.4462603575
130	0.4461431109
131	0.4458129561
132	0.4455481328
133	0.4453940545
134	0.4451706095
135	0.4450052448
136	0.4448112446
137	0.4445357253
138	0.4442820207
139	0.4441745126
140	0.4438884153
141	0.4436528743
142	0.4434460769
143	0.4433240302
144	0.4431524545
145	0.4430032638
146	0.4427272933
147	0.4425966664
148	0.4424068589
149	0.4421237154
150	0.441940839
151	0.4414662404
152	0.4412025629
153	0.4409537119
154	0.4406367548
155	0.4403675812
156	0.4402906407
157	0.4401087427
158	0.439833654
159	0.4395168258
160	0.4392250894
161	0.4390210113
162	0.4387227395
163	0.4384477846
164	0.4382689521
165	0.4379001253
166	0.4376429665
167	0.4373443427
168	0.4370245333
169	0.4368688234
170	0.4366015519
171	0.4361953991
172	0.4359026724
173	0.4355479365
174	0.4354296909
175	0.4351832979
176	0.4350017667
177	0.4348528701
178	0.4346573042
179	0.4344871953
180	0.4342276696
181	0.4339591895
182	0.4334567577
183	0.4332865634
184	0.4331265995
185	0.4329885695
186	0.4327204411
187	0.4325695239
188	0.4323016856
189	0.4321281049
190	0.4319147011
191	0.4317381616
192	0.43159697
193	0.4312993943
194	0.4310402474
195	0.4308936366
196	0.4307639728
197	0.4305730856
198	0.4303560947
199	0.4300872889
200	0.4298783812
201	0.429743033
202	0.4295733457
203	0.4293435483
204	0.4291249149
205	0.4290390507
206	0.4288848735
207	0.4286206846
208	0.4283124472
209	0.4282074901
210	0.4279983085
211	0.4277932729
212	0.4275609291
213	0.4272296951
214	0.4270471509
215	0.4268085555
216	0.4266637204
217	0.426228859
218	0.4261287676
219	0.4260074158
220	0.425893408
221	0.425658569
222	0.4255293215
223	0.4252964883
224	0.4251811099
225	0.4248496948
226	0.4246015741
227	0.4243016467
228	0.4241504717
229	0.4239040614
230	0.4236570199
231	0.4235116498
232	0.4234189512
233	0.4232452716
234	0.4229637204
235	0.4225803726
236	0.4224601501
237	0.4223688781
238	0.4221338091
239	0.4218900242
240	0.4216701331
241	0.4213512587
242	0.4211209627
243	0.4208576873
244	0.4207753595
245	0.4205334324
246	0.420324024
247	0.4201046269
248	0.4199132164
249	0.4196673821
250	0.4194486733
251	0.4192360275
252	0.4190124423
253	0.4188125606
254	0.4186027768
255	0.4184793745
256	0.4182563594
257	0.4179705402
258	0.4177848216
259	0.4174848156
260	0.4172802445
261	0.417084777
262	0.4168926267
263	0.4166980212
264	0.416475434
265	0.4163403806
266	0.4161527789
267	0.4157623963
268	0.4154940839
269	0.4153060398
270	0.4151996997
271	0.4150200557
272	0.4148231608
273	0.4146046058
274	0.414340139
275	0.4139629852
276	0.4137376173
277	0.4135458544
278	0.4133525325
279	0.413114614
280	0.4129019031
281	0.4126965273
282	0.4124865633
