iter	Passed	Remaining
0	6	3419
1	13	3264
2	21	3533
3	33	4120
4	42	4234
5	50	4156
6	56	4000
7	63	3886
8	69	3807
9	76	3757
10	83	3699
11	88	3596
12	92	3453
13	100	3502
14	108	3500
15	115	3481
16	122	3469
17	127	3424
18	133	3378
19	138	3332
20	146	3330
21	151	3294
22	157	3263
23	163	3250
24	169	3211
25	176	3224
26	182	3204
27	191	3224
28	199	3247
29	205	3223
30	212	3215
31	217	3180
32	222	3145
33	228	3132
34	233	3106
35	239	3085
36	245	3067
37	251	3055
38	258	3061
39	264	3041
40	272	3050
41	278	3033
42	283	3008
43	288	2992
44	294	2977
45	299	2959
46	306	2953
47	311	2936
48	316	2912
49	322	2900
50	329	2903
51	336	2896
52	344	2905
53	349	2888
54	355	2877
55	360	2857
56	365	2841
57	371	2829
58	376	2815
59	381	2797
60	388	2793
61	393	2780
62	400	2780
63	406	2770
64	412	2761
65	419	2758
66	428	2767
67	437	2781
68	443	2769
69	449	2759
70	455	2752
71	462	2747
72	468	2743
73	474	2730
74	479	2716
75	485	2707
76	490	2692
77	494	2677
78	500	2669
79	507	2663
80	513	2657
81	519	2648
82	524	2633
83	529	2623
84	535	2612
85	539	2598
86	547	2597
87	552	2587
88	557	2576
89	563	2568
90	568	2557
91	576	2555
92	590	2583
93	596	2575
94	601	2566
95	607	2557
96	616	2559
97	621	2549
98	627	2543
99	633	2535
100	641	2534
101	647	2526
102	652	2515
103	659	2509
104	665	2502
105	670	2490
106	677	2488
107	683	2479
108	688	2471
109	696	2469
110	702	2463
111	714	2474
112	720	2466
113	727	2462
114	732	2451
115	737	2441
116	743	2433
117	748	2421
118	753	2412
119	758	2402
120	763	2390
121	770	2386
122	777	2381
123	784	2379
124	794	2382
125	798	2371
126	805	2364
127	810	2356
128	816	2347
129	822	2341
130	827	2330
131	832	2319
132	839	2316
133	844	2306
134	853	2306
135	858	2296
136	864	2289
137	870	2283
138	875	2272
139	879	2261
140	885	2254
141	890	2244
142	895	2234
143	900	2226
144	905	2217
145	910	2207
146	918	2206
147	924	2198
148	933	2198
149	937	2187
150	942	2178
151	947	2170
152	952	2161
153	957	2150
154	962	2143
155	967	2134
156	972	2125
157	977	2115
158	983	2109
159	989	2103
160	995	2096
161	1003	2093
162	1010	2088
163	1015	2080
164	1020	2071
165	1024	2061
166	1031	2057
167	1037	2050
168	1043	2042
169	1048	2035
170	1053	2026
171	1060	2021
172	1078	2039
173	1084	2031
174	1092	2029
175	1098	2022
176	1105	2016
177	1110	2009
178	1115	2000
179	1120	1992
180	1127	1987
181	1132	1978
182	1137	1970
183	1143	1963
184	1148	1955
185	1152	1946
186	1159	1940
187	1164	1932
188	1170	1925
189	1176	1919
190	1181	1911
191	1185	1902
192	1191	1895
193	1197	1888
194	1201	1879
195	1207	1872
196	1213	1865
197	1217	1857
198	1223	1850
199	1228	1842
200	1232	1833
201	1241	1831
202	1246	1823
203	1253	1818
204	1258	1811
205	1263	1802
206	1271	1799
207	1276	1792
208	1282	1785
209	1288	1778
210	1293	1771
211	1298	1764
212	1305	1759
213	1312	1753
214	1319	1748
215	1324	1741
216	1333	1739
217	1342	1736
218	1349	1731
219	1355	1725
220	1360	1717
221	1365	1709
