iter	Logloss
0	0.657202465
1	0.6253393003
2	0.6015476845
3	0.5821808877
4	0.5672223141
5	0.5553766402
6	0.5452504057
7	0.540759517
8	0.5339625386
9	0.5314749836
10	0.5267518281
11	0.5233409194
12	0.5202529552
13	0.5182612719
14	0.5162041874
15	0.5139291891
16	0.5128405749
17	0.5114200724
18	0.5096501474
19	0.5081634019
20	0.5079495132
21	0.5072880253
22	0.5070198176
23	0.5066626289
24	0.5062408727
25	0.5060618283
26	0.5054555345
27	0.5047015311
28	0.504624664
29	0.5037447644
30	0.5031633556
31	0.5030083186
32	0.5025344333
33	0.5024637704
34	0.5023126177
35	0.5022367998
36	0.5020865056
37	0.5019453554
38	0.501782824
39	0.5016508619
40	0.5013870361
41	0.5011393525
42	0.5010253393
43	0.5008995166
44	0.5007554151
45	0.5005337884
46	0.5003169365
47	0.5000564591
48	0.4998714019
49	0.4996337875
50	0.4994773954
51	0.499391171
52	0.4992532977
53	0.499159686
54	0.498980627
55	0.4988715854
56	0.4987866018
57	0.4987486372
58	0.4986638595
59	0.4984912355
60	0.498327491
61	0.4981641218
62	0.4981108709
63	0.4980597426
64	0.4979823988
65	0.4978932474
66	0.4977086216
67	0.4974048067
68	0.4972918341
69	0.4972049926
70	0.4970786313
71	0.4969895598
72	0.4969200001
73	0.4967361163
74	0.4967031103
75	0.496620676
76	0.4965495991
77	0.4964506651
78	0.4963626469
79	0.4962011074
80	0.4961280431
81	0.49602258
82	0.4959139009
83	0.4957671992
84	0.4956448943
85	0.4955033575
86	0.4954161569
87	0.4953645866
88	0.494966393
89	0.494634638
90	0.4945265882
91	0.4943982104
92	0.4941236642
93	0.4939981515
94	0.4938904131
95	0.4938335697
96	0.4937556023
97	0.4937047761
98	0.4936261437
99	0.4935519542
100	0.4935263723
101	0.4934394208
102	0.4933069278
103	0.4932466216
104	0.4931848773
105	0.4930859664
106	0.4929756704
107	0.4929231508
108	0.4928187394
109	0.4927098081
110	0.4926589838
111	0.4925915285
112	0.4924347227
113	0.4923520153
114	0.4921651435
115	0.4921224917
116	0.4920627653
117	0.492060906
118	0.4920407459
119	0.4919790094
120	0.4919591085
121	0.4919370859
122	0.4918369826
123	0.4917215731
124	0.4915850936
125	0.4914590611
126	0.4914111377
127	0.4913481226
128	0.4912904503
129	0.4911581675
130	0.4909864917
131	0.490922389
132	0.4908048461
133	0.4907221303
134	0.4906051636
135	0.4905631141
136	0.4904695977
137	0.4904161186
138	0.4903068746
139	0.4901694201
140	0.4901011486
141	0.4899575014
142	0.4897771304
143	0.4896832464
144	0.4896023681
145	0.48941534
146	0.4893133552
147	0.4892018424
148	0.489122635
149	0.4890477028
