iter	Passed	Remaining
0	32	32944
1	64	32364
2	103	34442
3	142	35386
4	174	34767
5	200	33219
6	229	32582
7	265	32861
8	300	33130
9	325	32272
10	361	32458
11	395	32571
12	421	31964
13	433	30547
14	471	30958
15	510	31391
16	551	31906
17	592	32305
18	633	32726
19	675	33116
20	691	32219
21	726	32286
22	763	32432
23	782	31819
24	807	31511
25	844	31622
26	881	31779
27	919	31915
28	932	31229
29	967	31295
30	1007	31500
31	1045	31624
32	1085	31797
33	1126	32003
34	1164	32117
35	1208	32351
36	1247	32472
37	1284	32521
38	1322	32585
39	1341	32199
40	1377	32229
41	1413	32245
42	1451	32298
43	1491	32404
44	1529	32455
45	1565	32473
46	1604	32529
47	1641	32553
48	1684	32693
49	1703	32375
50	1739	32373
51	1775	32369
52	1820	32520
53	1857	32546
54	1894	32555
55	1934	32614
56	1975	32681
57	2002	32529
58	2039	32535
59	2077	32543
60	2113	32540
61	2141	32393
62	2178	32396
63	2213	32366
64	2221	31951
65	2252	31875
66	2290	31892
67	2325	31869
68	2373	32022
69	2408	31995
70	2445	32002
71	2483	32007
72	2521	32018
73	2558	32009
74	2594	32000
75	2652	32245
76	2689	32238
77	2726	32230
78	2762	32207
79	2799	32193
80	2836	32179
81	2871	32142
82	2922	32287
83	2957	32251
84	2993	32221
85	3028	32190
86	3064	32159
87	3099	32124
88	3137	32110
89	3187	32233
90	3224	32206
91	3260	32181
92	3298	32167
93	3336	32161
94	3369	32099
95	3411	32121
96	3446	32087
97	3485	32080
98	3523	32068
99	3558	32025
100	3565	31735
101	3599	31693
102	3636	31672
103	3673	31650
104	3710	31631
105	3748	31610
106	3782	31567
107	3817	31531
108	3852	31492
109	3887	31450
110	3923	31423
111	3962	31420
112	4002	31420
113	4041	31408
114	4054	31203
115	4090	31175
116	4126	31143
117	4166	31141
118	4204	31130
119	4240	31099
120	4281	31106
121	4320	31094
122	4344	30979
123	4368	30859
124	4402	30819
125	4438	30786
126	4473	30749
127	4480	30520
128	4516	30492
129	4552	30469
130	4590	30452
131	4628	30434
132	4665	30413
133	4702	30393
134	4737	30356
135	4771	30310
136	4807	30282
137	4857	30342
138	4886	30266
139	4951	30417
140	4980	30340
141	5015	30301
142	5045	30237
143	5082	30213
144	5119	30184
145	5156	30159
146	5193	30137
147	5229	30104
148	5264	30069
149	5300	30035
150	5335	30001
151	5362	29918
152	5401	29904
153	5437	29870
154	5472	29832
155	5491	29712
156	5526	29674
157	5561	29635
158	5591	29577
159	5629	29554
160	5665	29526
161	5704	29505
162	5740	29475
163	5747	29296
164	5766	29179
165	5802	29149
166	5837	29119
167	5874	29095
168	5911	29065
169	5946	29033
170	5982	29003
171	6018	28972
172	6052	28935
173	6071	28820
174	6105	28784
175	6139	28745
176	6174	28709
177	6198	28624
178	6234	28593
179	6268	28558
180	6293	28476
181	6330	28451
182	6368	28432
183	6409	28423
184	6446	28399
185	6482	28368
186	6517	28334
187	6552	28303
188	6590	28278
189	6625	28247
190	6662	28218
191	6681	28116
192	6718	28091
193	6754	28061
194	6789	28030
195	6826	28002
196	6839	27879
197	6875	27849
198	6911	27819
199	6946	27786
200	6982	27755
201	7016	27718
202	7051	27685
203	7086	27652
204	7122	27621
205	7158	27590
206	7193	27558
207	7229	27527
208	7242	27411
209	7277	27377
210	7290	27260
211	7308	27164
212	7342	27129
213	7379	27102
214	7413	27067
215	7448	27035
216	7482	26999
217	7495	26887
218	7530	26856
219	7565	26822
220	7583	26730
221	7617	26695
222	7651	26661
223	7670	26572
224	7704	26538
225	7734	26490
226	7773	26470
227	7808	26440
228	7843	26407
229	7878	26376
230	7891	26271
231	7925	26236
232	7961	26206
233	7997	26179
234	8032	26147
235	8068	26120
236	8103	26088
237	8141	26066
238	8177	26039
239	8212	26007
240	8252	25990
241	8291	25971
242	8325	25934
243	8380	25966
244	8425	25965
245	8439	25867
246	8482	25858
247	8525	25851
248	8562	25824
249	8598	25796
250	8612	25700
251	8649	25674
252	8686	25647
253	8722	25617
254	8758	25589
255	8796	25564
256	8831	25533
257	8868	25506
258	8904	25476
259	8941	25447
260	8977	25420
261	9013	25388
262	9047	25353
263	9082	25319
264	9116	25286
265	9151	25252
266	9187	25221
267	9222	25188
268	9258	25159
269	9294	25128
270	9330	25098
271	9366	25068
272	9405	25047
273	9446	25030
274	9485	25008
275	9524	24985
276	9544	24911
277	9583	24888
278	9627	24878
279	9671	24868
280	9712	24851
281	9750	24825
282	9788	24800
283	9824	24769
284	9862	24743
285	9884	24675
286	9920	24646
287	9957	24616
288	9994	24589
289	10032	24561
290	10058	24506
291	10095	24477
292	10132	24448
293	10169	24421
294	10206	24392
295	10243	24362
296	10281	24336
297	10318	24307
298	10357	24281
299	10394	24254
300	10432	24226
301	10468	24195
302	10504	24162
303	10529	24106
304	10565	24074
305	10601	24045
306	10639	24015
307	10675	23985
308	10710	23952
309	10746	23919
310	10782	23888
311	10820	23861
312	10855	23826
313	10891	23795
314	10926	23760
315	10962	23729
316	11002	23705
317	11039	23675
318	11076	23645
319	11113	23615
320	11148	23581
321	11184	23549
322	11220	23517
323	11271	23516
324	11307	23484
325	11344	23454
326	11396	23455
327	11438	23435
328	11479	23413
329	11517	23383
330	11555	23355
331	11593	23326
332	11630	23295
333	11668	23267
334	11709	23244
335	11750	23220
336	11788	23191
337	11826	23162
338	11862	23130
339	11899	23098
340	11934	23064
341	11971	23033
342	12006	22998
343	12042	22964
344	12078	22931
345	12116	22901
346	12183	22928
347	12237	22927
348	12285	22915
349	12325	22889
350	12362	22858
351	12402	22831
352	12440	22801
353	12478	22772
354	12516	22740
355	12553	22709
356	12591	22678
357	12628	22647
358	12669	22622
359	12707	22591
360	12745	22559
361	12785	22533
362	12824	22504
363	12864	22476
364	12901	22444
365	12939	22414
366	12977	22382
367	13019	22359
368	13057	22327
369	13093	22294
370	13130	22261
371	13166	22227
372	13203	22194
373	13241	22163
374	13278	22130
375	13315	22097
376	13353	22067
377	13392	22036
378	13428	22002
379	13464	21968
380	13500	21933
381	13537	21901
382	13575	21869
383	13612	21836
384	13650	21805
385	13686	21770
386	13728	21745
387	13775	21727
388	13837	21734
389	13886	21720
390	13925	21689
391	13962	21656
392	13999	21623
393	14037	21591
394	14077	21561
395	14117	21532
396	14160	21508
397	14209	21492
398	14245	21457
399	14281	21422
400	14318	21388
401	14354	21352
402	14392	21320
403	14427	21283
404	14463	21249
405	14508	21226
406	14546	21193
407	14583	21160
408	14621	21128
409	14660	21096
410	14696	21061
411	14732	21025
412	14775	21000
413	14815	20970
414	14857	20943
415	14897	20913
416	14934	20879
417	14970	20844
418	15007	20809
419	15043	20773
420	15077	20736
421	15113	20700
422	15150	20665
423	15185	20629
424	15221	20593
425	15257	20558
426	15294	20523
427	15330	20487
428	15366	20452
429	15403	20418
430	15439	20383
431	15475	20347
432	15511	20311
433	15547	20275
434	15587	20245
435	15623	20209
436	15659	20174
437	15696	20140
438	15733	20105
439	15772	20073
440	15820	20053
441	15877	20044
442	15919	20016
443	15955	19980
444	15990	19943
445	16026	19907
446	16062	19871
447	16098	19835
448	16133	19798
449	16168	19761
450	16203	19724
451	16240	19689
452	16275	19652
453	16311	19617
454	16347	19581
455	16383	19545
456	16421	19511
457	16456	19474
458	16492	19439
459	16528	19402
460	16564	19366
461	16599	19330
462	16636	19295
463	16673	19260
464	16711	19227
465	16746	19190
466	16782	19154
467	16818	19118
468	16854	19082
469	16893	19050
470	16931	19016
471	16967	18980
472	17003	18944
473	17040	18909
474	17075	18873
475	17111	18836
476	17147	18800
477	17183	18764
478	17224	18734
479	17262	18700
480	17298	18665
481	17335	18630
482	17371	18594
483	17406	18557
484	17444	18523
485	17479	18487
486	17515	18450
487	17550	18413
488	17586	18377
489	17623	18343
490	17660	18308
491	17698	18274
492	17739	18243
493	17778	18210
494	17817	18177
495	17856	18144
496	17894	18111
497	17932	18076
498	17971	18043
499	18009	18009
500	18047	17975
501	18085	17941
502	18123	17906
503	18159	17871
504	18195	17834
505	18236	17803
506	18283	17778
507	18320	17743
508	18357	17708
509	18395	17673
510	18432	17638
511	18473	17607
512	18510	17572
513	18548	17537
514	18586	17504
515	18630	17475
516	18668	17441
517	18705	17405
518	18742	17369
519	18781	17336
520	18818	17301
521	18855	17266
522	18892	17230
